"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"0203","Meat of swine, fresh, chilled or frozen","302","Denmark","444,349,360",
"0203","Meat of swine, fresh, chilled or frozen","303","United Kingdom","146,219,259",
"0203","Meat of swine, fresh, chilled or frozen","305","France","153,315,470",
"0203","Meat of swine, fresh, chilled or frozen","306","Ireland","78,657,443",
"0203","Meat of swine, fresh, chilled or frozen","307","Italy","5,637,526",
"0203","Meat of swine, fresh, chilled or frozen","309","Netherlands","265,232,488",
"0203","Meat of swine, fresh, chilled or frozen","311","Portugal","9,456,618",
"0203","Meat of swine, fresh, chilled or frozen","312","Spain","1,068,645,582",
"0203","Meat of swine, fresh, chilled or frozen","315","Austria","32,859,649",
"0203","Meat of swine, fresh, chilled or frozen","318","Finland","12,288,220",
"0203","Meat of swine, fresh, chilled or frozen","331","Switzerland","2,940,224",
"0203","Meat of swine, fresh, chilled or frozen","402","Argentina","229,780",
"0203","Meat of swine, fresh, chilled or frozen","410","Brazil","995,055,614",
"0203","Meat of swine, fresh, chilled or frozen","412","Chile","141,963,515",
"0203","Meat of swine, fresh, chilled or frozen","415","Costa Rica","59,938",
"0203","Meat of swine, fresh, chilled or frozen","429","Mexico","34,481,792",
"0203","Meat of swine, fresh, chilled or frozen","501","Canada","233,944,545",
"0203","Meat of swine, fresh, chilled or frozen","502","United States","212,475,484",
