Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Dominican Republic,3,206490010,"SWN OFL,FZ,TNGUE",0,0,0,126,83,0,189,75,212,815,285,US,DR,206490010,
Dominican Republic,4,206490040,"SWN OFL,FZ,HDMT",0,93,0,0,14,0,0,80,313,75,-76,US,DR,206490040,
Dominican Republic,5,206410000,"SWN LVR,ED,FZ",0,0,0,0,0,0,0,0,168,0,,US,DR,206410000,
Dominican Republic,6,206490020,"SWN OFL,FZ,HEART",23,48,21,0,0,98,0,0,11,0,,US,DR,206490020,
Dominican Republic,7,206490050,"SWN OFL,FZ,RIND",99,39,3,54,336,80,719,694,90,0,,US,DR,206490050,
Honduras,1,206490090,"SWN OFL,FZ,OTHER",245,52,3,"1,226","1,413","1,772","2,667","2,215","2,729","2,877",5,US,HO,206490090,
Honduras,2,206490030,"SWN OFL,FZ,FEET",211,213,249,176,180,104,385,666,326,678,108,US,HO,206490030,
Honduras,3,206490050,"SWN OFL,FZ,RIND",28,316,250,602,443,132,481,293,400,486,22,US,HO,206490050,
Honduras,4,206490010,"SWN OFL,FZ,TNGUE",99,66,0,26,155,55,26,14,38,218,474,US,HO,206490010,
Honduras,5,206490020,"SWN OFL,FZ,HEART",4,0,0,0,0,0,0,0,0,0,,US,HO,206490020,
Honduras,6,206490040,"SWN OFL,FZ,HDMT",0,0,0,0,0,8,0,0,0,0,,US,HO,206490040,
Panama,1,206490030,"SWN OFL,FZ,FEET",803,"1,502","1,623","2,311","1,123","1,578",227,186,864,"2,746",218,US,PM,206490030,
Panama,2,206490090,"SWN OFL,FZ,OTHER",125,57,114,513,912,"1,005",392,112,355,713,101,US,PM,206490090,
Panama,3,206490020,"SWN OFL,FZ,HEART",0,0,0,0,76,0,0,0,577,390,-32,US,PM,206490020,
Panama,4,206490010,"SWN OFL,FZ,TNGUE",0,0,0,0,0,0,0,104,36,253,607,US,PM,206490010,
Panama,5,206410000,"SWN LVR,ED,FZ",0,0,5,0,0,0,0,0,0,0,,US,PM,206410000,
Panama,6,206490040,"SWN OFL,FZ,HDMT",302,0,150,0,0,0,54,0,0,0,,US,PM,206490040,
Panama,7,206490050,"SWN OFL,FZ,RIND",0,0,0,0,45,0,0,0,0,0,,US,PM,206490050,
Guatemala,1,206490090,"SWN OFL,FZ,OTHER",687,"1,198",775,"2,635","4,483","3,687","3,707","4,752","2,486","2,707",9,US,GT,206490090,
Guatemala,2,206490050,"SWN OFL,FZ,RIND",95,132,181,35,31,29,3,90,373,660,77,US,GT,206490050,
Guatemala,3,206490040,"SWN OFL,FZ,HDMT",44,29,0,24,15,21,0,0,105,111,6,US,GT,206490040,
Guatemala,4,206490010,"SWN OFL,FZ,TNGUE",0,0,0,0,0,69,99,836,0,70,,US,GT,206490010,
Guatemala,5,206490030,"SWN OFL,FZ,FEET",0,6,0,0,4,0,107,208,125,62,-50,US,GT,206490030,
Guatemala,6,206410000,"SWN LVR,ED,FZ",62,0,6,9,0,0,7,5,23,49,115,US,GT,206410000,
Guatemala,7,206490020,"SWN OFL,FZ,HEART",63,129,147,112,80,20,0,0,0,0,,US,GT,206490020,
Taiwan,1,206490090,"SWN OFL,FZ,OTHER","6,123","4,171","3,916","5,876","5,135","5,383","2,574","2,151","5,331","3,013",-43,US,TW,206490090,
Taiwan,2,206490040,"SWN OFL,FZ,HDMT","1,885",486,497,260,101,107,156,185,0,204,,US,TW,206490040,
Taiwan,3,206490030,"SWN OFL,FZ,FEET","2,232",444,"2,007","2,300","1,051",405,415,0,"1,140",138,-88,US,TW,206490030,
Taiwan,4,206490010,"SWN OFL,FZ,TNGUE",0,20,126,611,0,0,44,0,60,96,59,US,TW,206490010,
Taiwan,5,206410000,"SWN LVR,ED,FZ",0,0,0,0,0,0,0,0,61,0,,US,TW,206410000,
Taiwan,6,206490020,"SWN OFL,FZ,HEART",0,0,58,33,65,0,0,0,0,0,,US,TW,206490020,
Taiwan,7,206490050,"SWN OFL,FZ,RIND",0,0,0,80,0,0,0,315,0,0,,US,TW,206490050,
Australia(*),1,206490090,"SWN OFL,FZ,OTHER",212,0,0,124,729,100,"2,225",0,969,"1,705",76,US,AS,206490090,
Australia(*),2,206490030,"SWN OFL,FZ,FEET",0,0,0,303,0,192,0,0,0,103,,US,AS,206490030,
Australia(*),3,206490010,"SWN OFL,FZ,TNGUE",0,0,54,292,251,0,0,0,0,0,,US,AS,206490010,
Vietnam,1,206490020,"SWN OFL,FZ,HEART",0,61,0,317,256,155,100,724,"2,566","1,640",-36,US,VM,206490020,
Vietnam,2,206490010,"SWN OFL,FZ,TNGUE",105,0,0,266,486,"2,032",114,64,0,161,,US,VM,206490010,
Vietnam,3,206490030,"SWN OFL,FZ,FEET",88,492,0,"10,937","7,575","2,438",374,105,0,0,,US,VM,206490030,
Vietnam,4,206490050,"SWN OFL,FZ,RIND",0,0,0,24,0,0,0,0,0,0,,US,VM,206490050,
Vietnam,5,206490090,"SWN OFL,FZ,OTHER",179,46,0,345,139,"1,146","1,706",522,0,0,,US,VM,206490090,
Cuba,1,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,0,0,0,0,0,"1,246",,US,CU,206490090,
Cuba,2,206490030,"SWN OFL,FZ,FEET",0,0,0,0,0,0,0,0,0,54,,US,CU,206490030,
El Salvador,1,206490090,"SWN OFL,FZ,OTHER",322,221,275,358,329,348,"1,439",645,"1,065","1,010",-5,US,ES,206490090,
El Salvador,2,206490040,"SWN OFL,FZ,HDMT",0,0,0,24,111,0,0,12,111,121,8,US,ES,206490040,
El Salvador,3,206490030,"SWN OFL,FZ,FEET",0,0,39,0,0,0,70,0,99,39,-60,US,ES,206490030,
El Salvador,4,206490010,"SWN OFL,FZ,TNGUE",0,0,0,0,0,0,0,25,0,0,,US,ES,206490010,
El Salvador,5,206490020,"SWN OFL,FZ,HEART",0,66,47,0,0,0,0,0,0,0,,US,ES,206490020,
El Salvador,6,206490050,"SWN OFL,FZ,RIND",0,0,0,0,0,0,43,0,0,0,,US,ES,206490050,
Trinidad and Tobago,1,206490090,"SWN OFL,FZ,OTHER",390,644,"1,066","1,846","1,648","2,864","1,113",881,"1,256",970,-23,US,TD,206490090,
Trinidad and Tobago,2,206490030,"SWN OFL,FZ,FEET",401,263,60,28,3,11,3,0,7,114,"1,550",US,TD,206490030,
Trinidad and Tobago,3,206490040,"SWN OFL,FZ,HDMT",0,0,19,4,0,0,0,0,0,9,,US,TD,206490040,
Trinidad and Tobago,4,206490010,"SWN OFL,FZ,TNGUE",0,0,9,0,0,0,0,0,0,0,,US,TD,206490010,
Trinidad and Tobago,5,206490020,"SWN OFL,FZ,HEART",0,0,0,172,0,0,0,0,0,0,,US,TD,206490020,
Leeward-Windward Islands(*),1,206490090,"SWN OFL,FZ,OTHER",182,544,"1,319",234,101,140,181,149,117,554,373,US,Y1,206490090,
Leeward-Windward Islands(*),2,206490030,"SWN OFL,FZ,FEET",88,84,113,128,51,73,125,114,202,250,23,US,Y1,206490030,
Leeward-Windward Islands(*),3,206490020,"SWN OFL,FZ,HEART",0,0,0,0,0,0,0,0,4,4,-6,US,Y1,206490020,
Leeward-Windward Islands(*),4,206410000,"SWN LVR,ED,FZ",0,0,0,0,0,0,0,0,3,0,,US,Y1,206410000,
Leeward-Windward Islands(*),5,206490010,"SWN OFL,FZ,TNGUE",0,0,0,3,27,0,0,0,0,0,,US,Y1,206490010,
Leeward-Windward Islands(*),6,206490040,"SWN OFL,FZ,HDMT",4,0,0,0,0,0,0,0,0,0,,US,Y1,206490040,
Leeward-Windward Islands(*),7,206490050,"SWN OFL,FZ,RIND",0,0,0,0,0,0,0,3,0,0,,US,Y1,206490050,
Haiti,1,206490090,"SWN OFL,FZ,OTHER",626,814,771,633,285,499,0,0,406,338,-17,US,HA,206490090,
Haiti,2,206490010,"SWN OFL,FZ,TNGUE",0,0,0,0,0,0,0,0,0,53,,US,HA,206490010,
Haiti,3,206490040,"SWN OFL,FZ,HDMT",0,0,0,0,0,0,0,12,0,21,,US,HA,206490040,
Haiti,4,206490030,"SWN OFL,FZ,FEET",158,0,0,56,0,3,50,100,0,0,,US,HA,206490030,
Costa Rica,1,206490090,"SWN OFL,FZ,OTHER",35,133,21,293,197,114,268,211,"1,115",262,-77,US,CS,206490090,
Costa Rica,2,206490030,"SWN OFL,FZ,FEET",3,0,0,0,73,0,9,0,13,143,"1,006",US,CS,206490030,
Costa Rica,3,206410000,"SWN LVR,ED,FZ",14,0,0,0,0,11,0,0,0,0,,US,CS,206410000,
Costa Rica,4,206490010,"SWN OFL,FZ,TNGUE",0,0,0,0,304,79,178,556,0,0,,US,CS,206490010,
Costa Rica,5,206490020,"SWN OFL,FZ,HEART",0,166,164,39,67,0,0,0,13,0,,US,CS,206490020,
Costa Rica,6,206490050,"SWN OFL,FZ,RIND",136,52,8,80,25,0,41,0,0,0,,US,CS,206490050,
Malaysia,1,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,0,0,0,0,331,299,-10,US,MY,206490090,
Malaysia,2,206490010,"SWN OFL,FZ,TNGUE",0,0,0,0,0,269,0,0,0,69,,US,MY,206490010,
Malaysia,3,206490040,"SWN OFL,FZ,HDMT",0,0,0,0,0,0,0,0,0,35,,US,MY,206490040,
Gabon,1,206490010,"SWN OFL,FZ,TNGUE",0,0,0,0,0,0,0,0,0,305,,US,GB,206490010,
Gabon,2,206490090,"SWN OFL,FZ,OTHER",21,0,0,0,0,0,0,0,0,80,,US,GB,206490090,
Gabon,3,206490020,"SWN OFL,FZ,HEART",0,26,0,0,0,0,0,0,0,0,,US,GB,206490020,
Singapore,1,206490090,"SWN OFL,FZ,OTHER",703,442,494,627,433,269,328,0,537,254,-53,US,SN,206490090,
Singapore,2,206490010,"SWN OFL,FZ,TNGUE",0,0,100,78,50,0,0,0,0,127,,US,SN,206490010,
Singapore,3,206490020,"SWN OFL,FZ,HEART",66,0,0,0,0,0,0,0,0,0,,US,SN,206490020,
Singapore,4,206490030,"SWN OFL,FZ,FEET",686,93,126,240,21,72,90,0,0,0,,US,SN,206490030,
Singapore,5,206490040,"SWN OFL,FZ,HDMT",35,0,0,0,0,0,0,0,0,0,,US,SN,206490040,
New Zealand(*),1,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,53,0,163,0,76,334,341,US,NZ,206490090,
New Zealand(*),2,206490030,"SWN OFL,FZ,FEET",0,0,0,59,0,0,0,0,0,0,,US,NZ,206490030,
New Zealand(*),3,206490050,"SWN OFL,FZ,RIND",0,3,0,0,0,0,0,0,0,0,,US,NZ,206490050,
Netherlands Antilles(*),1,206490090,"SWN OFL,FZ,OTHER",21,15,55,56,0,3,0,3,231,279,21,US,NT,206490090,
Netherlands Antilles(*),2,206490030,"SWN OFL,FZ,FEET",40,22,18,16,0,10,3,9,3,6,89,US,NT,206490030,
Netherlands Antilles(*),3,206410000,"SWN LVR,ED,FZ",0,10,0,0,0,0,0,0,0,0,,US,NT,206410000,
Netherlands Antilles(*),4,206490040,"SWN OFL,FZ,HDMT",7,0,0,0,0,0,0,0,0,0,,US,NT,206490040,
Hong Kong,1,206490090,"SWN OFL,FZ,OTHER","53,038","73,432","75,340","67,043","36,920","14,684","1,817",48,11,185,"1,546",US,HK,206490090,
Hong Kong,2,206490030,"SWN OFL,FZ,FEET","77,991","151,959","209,264","135,948","54,230","12,655","1,308",469,66,50,-24,US,HK,206490030,
Hong Kong,3,206410000,"SWN LVR,ED,FZ",0,0,0,68,66,0,0,0,0,0,,US,HK,206410000,
Hong Kong,4,206490010,"SWN OFL,FZ,TNGUE","30,925","22,650","25,378","15,746","6,628","1,782",236,86,0,0,,US,HK,206490010,
Hong Kong,5,206490020,"SWN OFL,FZ,HEART","2,570","4,421","3,495","1,275",624,"1,153",150,0,0,0,,US,HK,206490020,
Hong Kong,6,206490040,"SWN OFL,FZ,HDMT","8,691","1,455","1,687","1,494",738,970,179,0,0,0,,US,HK,206490040,
Hong Kong,7,206490050,"SWN OFL,FZ,RIND",0,129,316,527,0,0,0,0,0,0,,US,HK,206490050,
Indonesia,1,206490040,"SWN OFL,FZ,HDMT",0,0,0,0,0,0,380,0,0,136,,US,ID,206490040,
Indonesia,2,206490010,"SWN OFL,FZ,TNGUE",0,0,0,0,0,0,0,0,0,94,,US,ID,206490010,
Indonesia,3,206490090,"SWN OFL,FZ,OTHER",113,0,0,0,0,0,79,0,0,0,,US,ID,206490090,
Chile,1,206490050,"SWN OFL,FZ,RIND",0,0,0,0,0,0,0,0,0,116,,US,CI,206490050,
Chile,2,206490010,"SWN OFL,FZ,TNGUE",0,0,273,0,91,"1,225",0,0,0,52,,US,CI,206490010,
Chile,3,206490090,"SWN OFL,FZ,OTHER","1,261","3,013","4,933","2,521","19,026","23,663","17,264",889,"1,641",44,-97,US,CI,206490090,
Chile,4,206490020,"SWN OFL,FZ,HEART",103,"1,297","2,934","4,074","3,182",210,0,32,0,0,,US,CI,206490020,
Chile,5,206490030,"SWN OFL,FZ,FEET",0,0,51,138,107,47,0,0,0,0,,US,CI,206490030,
Nicaragua,1,206490030,"SWN OFL,FZ,FEET",92,0,0,0,0,0,4,10,44,114,162,US,NU,206490030,
Nicaragua,2,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,0,38,0,65,149,54,-64,US,NU,206490090,
Nicaragua,3,206490050,"SWN OFL,FZ,RIND",0,0,9,95,99,34,22,0,45,32,-27,US,NU,206490050,
Nicaragua,4,206490010,"SWN OFL,FZ,TNGUE",0,0,13,0,0,0,0,132,0,0,,US,NU,206490010,
Venezuela,1,206490040,"SWN OFL,FZ,HDMT",0,0,0,0,0,19,0,0,69,172,151,US,VE,206490040,
South Africa,1,206490090,"SWN OFL,FZ,OTHER",0,364,524,631,115,396,30,201,56,142,154,US,SF,206490090,
South Africa,2,206410000,"SWN LVR,ED,FZ",0,0,0,0,0,0,40,0,0,20,,US,SF,206410000,
South Africa,3,206490040,"SWN OFL,FZ,HDMT",0,0,0,0,15,0,0,0,0,0,,US,SF,206490040,
Barbados,1,206490090,"SWN OFL,FZ,OTHER",133,139,125,150,46,19,143,161,120,141,17,US,BB,206490090,
Barbados,2,206490030,"SWN OFL,FZ,FEET",7,11,0,3,0,0,0,3,4,19,349,US,BB,206490030,
Barbados,3,206490010,"SWN OFL,FZ,TNGUE",0,0,0,0,0,0,0,25,0,0,,US,BB,206490010,
Barbados,4,206490040,"SWN OFL,FZ,HDMT",0,0,0,0,0,0,0,0,25,0,,US,BB,206490040,
Guyana,1,206490090,"SWN OFL,FZ,OTHER",0,0,0,0,6,6,13,0,0,159,,US,GY,206490090,
