Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
Cuba,1,203194000,"SWN MT,FR/CH",0,0,0,0,0,0,0,93,"1,659","1,506",-9,US,CU,203194000,
Cuba,2,203121000,"HM,SH,PRC,FR,CH",0,0,0,0,0,0,0,0,0,382,,US,CU,203121000,
Cuba,3,203129000,"HM/SH X PC,FR,CH",0,0,0,0,0,0,0,0,0,180,,US,CU,203129000,
Cuba,4,203192000,"SWN MT,PRC,FR,CH",0,0,0,0,0,0,0,0,22,94,337,US,CU,203192000,
Panama,1,203194000,"SWN MT,FR/CH",338,559,248,429,754,295,513,787,570,"1,095",92,US,PM,203194000,
Panama,2,203121000,"HM,SH,PRC,FR,CH",343,223,283,571,"1,429",737,802,481,391,723,85,US,PM,203121000,
Panama,3,203192000,"SWN MT,PRC,FR,CH",251,141,326,498,947,778,701,828,182,141,-22,US,PM,203192000,
Panama,4,203110000,"SWN CRC,FR,CH",0,0,10,60,0,412,0,0,3,0,,US,PM,203110000,
Panama,5,203129000,"HM/SH X PC,FR,CH",27,0,62,126,0,0,0,0,0,0,,US,PM,203129000,
"Bahamas, The",1,203129000,"HM/SH X PC,FR,CH",605,575,545,442,247,237,201,387,355,779,119,US,BF,203129000,
"Bahamas, The",2,203194000,"SWN MT,FR/CH",425,657,791,701,793,505,719,786,622,593,-5,US,BF,203194000,
"Bahamas, The",3,203192000,"SWN MT,PRC,FR,CH",61,106,178,82,112,103,65,124,271,263,-3,US,BF,203192000,
"Bahamas, The",4,203110000,"SWN CRC,FR,CH",4,0,7,28,22,5,8,0,0,3,,US,BF,203110000,
"Bahamas, The",5,203121000,"HM,SH,PRC,FR,CH",0,34,55,43,17,19,4,0,3,0,,US,BF,203121000,
Cayman Islands,1,203192000,"SWN MT,PRC,FR,CH",540,408,434,385,390,343,515,486,965,816,-15,US,CJ,203192000,
Cayman Islands,2,203194000,"SWN MT,FR/CH",0,0,79,81,97,119,550,842,244,431,77,US,CJ,203194000,
Cayman Islands,3,203129000,"HM/SH X PC,FR,CH",244,215,202,195,351,259,246,218,226,352,55,US,CJ,203129000,
Cayman Islands,4,203121000,"HM,SH,PRC,FR,CH",3,17,3,12,50,0,3,13,49,5,-90,US,CJ,203121000,
Cayman Islands,5,203110000,"SWN CRC,FR,CH",0,0,3,0,0,7,0,0,41,0,,US,CJ,203110000,
Netherlands Antilles(*),1,203194000,"SWN MT,FR/CH",66,179,287,353,405,365,498,662,810,816,1,US,NT,203194000,
Netherlands Antilles(*),2,203192000,"SWN MT,PRC,FR,CH",196,454,393,370,419,280,288,282,248,322,30,US,NT,203192000,
Netherlands Antilles(*),3,203129000,"HM/SH X PC,FR,CH",161,186,84,83,141,69,90,264,187,229,22,US,NT,203129000,
Netherlands Antilles(*),4,203121000,"HM,SH,PRC,FR,CH",123,225,128,165,365,198,219,228,12,81,582,US,NT,203121000,
Netherlands Antilles(*),5,203110000,"SWN CRC,FR,CH",11,0,12,3,0,7,0,7,6,18,213,US,NT,203110000,
Australia(*),1,203194000,"SWN MT,FR/CH","2,895","6,233",809,392,"4,375","4,288",383,0,0,993,,US,AS,203194000,
Australia(*),2,203110000,"SWN CRC,FR,CH",0,0,0,63,0,0,0,0,0,149,,US,AS,203110000,
Australia(*),3,203121000,"HM,SH,PRC,FR,CH",0,44,32,0,0,0,0,0,0,0,,US,AS,203121000,
Australia(*),4,203129000,"HM/SH X PC,FR,CH",0,0,0,0,0,0,135,0,0,0,,US,AS,203129000,
Australia(*),5,203192000,"SWN MT,PRC,FR,CH",154,247,146,275,0,0,34,0,0,0,,US,AS,203192000,
Bermuda,1,203192000,"SWN MT,PRC,FR,CH",127,262,91,104,137,93,217,168,698,909,30,US,BD,203192000,
Bermuda,2,203194000,"SWN MT,FR/CH",282,269,311,300,311,130,198,353,231,206,-11,US,BD,203194000,
Bermuda,3,203129000,"HM/SH X PC,FR,CH",33,0,6,0,0,7,0,0,14,17,23,US,BD,203129000,
Bermuda,4,203121000,"HM,SH,PRC,FR,CH",0,0,0,0,0,0,4,20,0,0,,US,BD,203121000,
Honduras,1,203192000,"SWN MT,PRC,FR,CH",258,742,491,91,145,45,119,235,334,571,71,US,HO,203192000,
Honduras,2,203121000,"HM,SH,PRC,FR,CH",157,103,163,103,4,14,8,10,0,209,,US,HO,203121000,
Honduras,3,203194000,"SWN MT,FR/CH",386,201,324,"1,733",762,43,273,178,502,176,-65,US,HO,203194000,
Honduras,4,203129000,"HM/SH X PC,FR,CH",206,150,46,0,0,0,0,153,49,33,-32,US,HO,203129000,
Honduras,5,203110000,"SWN CRC,FR,CH",57,0,140,0,100,128,10,313,0,0,,US,HO,203110000,
El Salvador,1,203194000,"SWN MT,FR/CH",0,0,15,89,66,33,18,36,158,391,148,US,ES,203194000,
El Salvador,2,203110000,"SWN CRC,FR,CH",0,0,0,284,731,"2,411",635,213,0,389,,US,ES,203110000,
El Salvador,3,203192000,"SWN MT,PRC,FR,CH",131,229,65,123,0,0,21,0,"1,913",60,-97,US,ES,203192000,
El Salvador,4,203129000,"HM/SH X PC,FR,CH",262,122,0,89,0,4,43,111,0,35,,US,ES,203129000,
El Salvador,5,203121000,"HM,SH,PRC,FR,CH",0,0,8,24,3,91,3,5,7,0,,US,ES,203121000,
Hong Kong,1,203194000,"SWN MT,FR/CH",633,845,319,751,803,"1,502","2,196","1,039",644,459,-29,US,HK,203194000,
Hong Kong,2,203121000,"HM,SH,PRC,FR,CH",0,13,0,29,6,19,9,99,16,175,965,US,HK,203121000,
Hong Kong,3,203192000,"SWN MT,PRC,FR,CH",566,290,442,297,291,320,291,508,395,105,-73,US,HK,203192000,
Hong Kong,4,203110000,"SWN CRC,FR,CH",0,68,0,44,768,"2,591",7,0,0,0,,US,HK,203110000,
Hong Kong,5,203129000,"HM/SH X PC,FR,CH",0,230,161,275,171,45,16,56,0,0,,US,HK,203129000,
Leeward-Windward Islands(*),1,203194000,"SWN MT,FR/CH",154,110,61,92,167,219,212,351,254,305,20,US,Y1,203194000,
Leeward-Windward Islands(*),2,203192000,"SWN MT,PRC,FR,CH",8,39,38,84,178,43,70,74,203,279,37,US,Y1,203192000,
Leeward-Windward Islands(*),3,203129000,"HM/SH X PC,FR,CH",181,66,93,176,89,118,79,85,160,141,-12,US,Y1,203129000,
Leeward-Windward Islands(*),4,203110000,"SWN CRC,FR,CH",0,3,0,0,23,7,3,0,0,0,,US,Y1,203110000,
Leeward-Windward Islands(*),5,203121000,"HM,SH,PRC,FR,CH",20,177,147,53,12,15,15,10,27,0,,US,Y1,203121000,
Haiti,1,203194000,"SWN MT,FR/CH",7,45,47,35,105,28,38,17,35,512,"1,350",US,HA,203194000,
Haiti,2,203121000,"HM,SH,PRC,FR,CH",224,187,214,167,51,3,4,0,9,34,296,US,HA,203121000,
Haiti,3,203129000,"HM/SH X PC,FR,CH",24,0,0,0,0,0,0,0,33,18,-45,US,HA,203129000,
Haiti,4,203110000,"SWN CRC,FR,CH",0,0,0,0,0,0,0,0,0,14,,US,HA,203110000,
Haiti,5,203192000,"SWN MT,PRC,FR,CH",49,19,5,6,3,15,3,0,8,9,19,US,HA,203192000,
Ecuador,1,203110000,"SWN CRC,FR,CH",0,0,249,957,486,528,725,228,353,432,22,US,EC,203110000,
Ecuador,2,203194000,"SWN MT,FR/CH",0,0,0,0,0,0,0,0,0,73,,US,EC,203194000,
Ecuador,3,203121000,"HM,SH,PRC,FR,CH",334,0,262,0,0,0,3,6,3,0,,US,EC,203121000,
Ecuador,4,203192000,"SWN MT,PRC,FR,CH",27,14,0,0,9,6,12,0,0,0,,US,EC,203192000,
Chile,1,203194000,"SWN MT,FR/CH",398,253,314,45,548,128,855,"1,648",196,390,99,US,CI,203194000,
Chile,2,203192000,"SWN MT,PRC,FR,CH",298,153,647,543,72,3,7,0,362,104,-71,US,CI,203192000,
Chile,3,203110000,"SWN CRC,FR,CH",10,0,0,0,7,202,0,0,0,0,,US,CI,203110000,
Chile,4,203121000,"HM,SH,PRC,FR,CH",0,3,23,261,166,51,0,0,0,0,,US,CI,203121000,
Chile,5,203129000,"HM/SH X PC,FR,CH",39,15,248,378,"1,076",529,0,0,0,0,,US,CI,203129000,
Nicaragua,1,203192000,"SWN MT,PRC,FR,CH",41,87,35,63,0,0,5,3,77,309,301,US,NU,203192000,
Nicaragua,2,203194000,"SWN MT,FR/CH",0,0,4,4,60,0,70,3,26,165,542,US,NU,203194000,
