"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"0203","Meat of swine, fresh, chilled or frozen","301","Belgium","21,681,409",
"0203","Meat of swine, fresh, chilled or frozen","302","Denmark","333,893,555",
"0203","Meat of swine, fresh, chilled or frozen","303","United Kingdom","68,318,689",
"0203","Meat of swine, fresh, chilled or frozen","304","Germany","665,751,253",
"0203","Meat of swine, fresh, chilled or frozen","305","France","188,832,716",
"0203","Meat of swine, fresh, chilled or frozen","306","Ireland","87,217,949",
"0203","Meat of swine, fresh, chilled or frozen","309","Netherlands","235,807,055",
"0203","Meat of swine, fresh, chilled or frozen","312","Spain","520,118,603",
"0203","Meat of swine, fresh, chilled or frozen","321","Hungary","49,679,524",
"0203","Meat of swine, fresh, chilled or frozen","328","Romania","8,715,708",
"0203","Meat of swine, fresh, chilled or frozen","350","Slovenia","414,720",
"0203","Meat of swine, fresh, chilled or frozen","410","Brazil","192,860,954",
"0203","Meat of swine, fresh, chilled or frozen","412","Chile","87,234,186",
"0203","Meat of swine, fresh, chilled or frozen","429","Mexico","285,784",
"0203","Meat of swine, fresh, chilled or frozen","501","Canada","320,392,179",
"0203","Meat of swine, fresh, chilled or frozen","502","United States","409,214,863",
