"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"0203","Meat of swine, fresh, chilled or frozen","301","Belgium","2,832,568",
"0203","Meat of swine, fresh, chilled or frozen","302","Denmark","123,593,769",
"0203","Meat of swine, fresh, chilled or frozen","303","United Kingdom","100,540,174",
"0203","Meat of swine, fresh, chilled or frozen","305","France","104,698,680",
"0203","Meat of swine, fresh, chilled or frozen","306","Ireland","54,374,966",
"0203","Meat of swine, fresh, chilled or frozen","309","Netherlands","140,435,585",
"0203","Meat of swine, fresh, chilled or frozen","311","Portugal","4,129,969",
"0203","Meat of swine, fresh, chilled or frozen","312","Spain","606,127,713",
"0203","Meat of swine, fresh, chilled or frozen","315","Austria","13,598,553",
"0203","Meat of swine, fresh, chilled or frozen","318","Finland","5,820,591",
"0203","Meat of swine, fresh, chilled or frozen","331","Switzerland","1,297,297",
"0203","Meat of swine, fresh, chilled or frozen","344","Russia","53,305,738",
"0203","Meat of swine, fresh, chilled or frozen","402","Argentina","2,666,239",
"0203","Meat of swine, fresh, chilled or frozen","410","Brazil","533,147,875",
"0203","Meat of swine, fresh, chilled or frozen","412","Chile","104,570,171",
"0203","Meat of swine, fresh, chilled or frozen","429","Mexico","222,162",
"0203","Meat of swine, fresh, chilled or frozen","501","Canada","123,867,367",
"0203","Meat of swine, fresh, chilled or frozen","502","United States","119,607,784",
