"Data generated on Friday, April 4, 2025 at 10:54:43 AM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"26","Singapore","1","Pork, Fr/Ch/Fz","8,128","7,531","10,921","8,292","10,746","10,349","8,219","8,092","6,556","7,116","9","US","SN","0603AT",
"27","Vietnam","1","Pork, Fr/Ch/Fz","2,359","3,117","11,267","21,352","9,227","47,562","10,664","5,364","7,150","7,028","-2","US","VM","0603AT",
"28","Peru","1","Pork, Fr/Ch/Fz","7,525","5,514","9,405","11,725","10,948","10,374","7,655","4,396","5,134","5,791","13","US","PE","0603AT",
"29","United Kingdom","1","Pork, Fr/Ch/Fz","3,963","3,640","3,544","3,563","3,298","3,361","3,956","1,101","3,561","4,611","29","US","UK","0603AT",
"30","Cayman Islands","1","Pork, Fr/Ch/Fz","1,055","1,038","1,131","1,069","1,252","1,153","1,780","2,592","2,794","3,027","8","US","CJ","0603AT",
"31","Indonesia","1","Pork, Fr/Ch/Fz","1,380","1,213","1,483","2,184","2,274","514","1,866","1,521","3,416","2,979","-13","US","ID","0603AT",
"32","Turks and Caicos Islands","1","Pork, Fr/Ch/Fz","499","1,109","1,003","1,269","1,097","897","1,871","1,973","2,075","2,918","41","US","TK","0603AT",
"33","Micronesia","1","Pork, Fr/Ch/Fz","728","816","1,007","889","1,160","1,425","2,034","1,725","1,865","1,931","4","US","FM","0603AT",
"34","Barbados","1","Pork, Fr/Ch/Fz","1,507","1,218","1,210","974","1,101","685","1,177","2,048","1,487","1,841","24","US","BB","0603AT",
"35","Bermuda","1","Pork, Fr/Ch/Fz","583","577","480","496","891","994","1,003","1,421","1,572","1,825","16","US","BD","0603AT",
"36","Belize","1","Pork, Fr/Ch/Fz","363","645","741","923","1,079","894","1,286","1,339","1,679","1,682","","US","BH","0603AT",
"37","Belgium-Luxembourg(*)","1","Pork, Fr/Ch/Fz","997","1,424","868","449","1,430","140","0","371","865","1,496","73","US","BE","0603AT",
"38","Guyana","1","Pork, Fr/Ch/Fz","48","60","48","195","281","211","356","559","1,410","1,443","2","US","GY","0603AT",
"39","Haiti","1","Pork, Fr/Ch/Fz","1,507","846","997","919","557","697","443","804","673","1,104","64","US","HA","0603AT",
"40","Marshall Islands","1","Pork, Fr/Ch/Fz","439","548","496","662","655","1,004","1,121","968","1,082","1,067","-1","US","RM","0603AT",
"41","Ecuador","1","Pork, Fr/Ch/Fz","4,506","543","1,458","2,236","1,646","1,639","1,853","1,381","1,161","1,057","-9","US","EC","0603AT",
"42","French Pacific Islands(*)","1","Pork, Fr/Ch/Fz","553","427","470","937","1,886","384","268","428","986","820","-17","US","Z1","0603AT",
"43","Netherlands","1","Pork, Fr/Ch/Fz","2,526","2,580","1,573","1,838","652","1,118","1,296","1,058","1,010","816","-19","US","NL","0603AT",
"44","Macau","1","Pork, Fr/Ch/Fz","167","105","0","120","222","0","119","318","680","708","4","US","MC","0603AT",
"45","Palau","1","Pork, Fr/Ch/Fz","159","315","447","793","674","586","805","482","604","706","17","US","PS","0603AT",
"46","Samoa","1","Pork, Fr/Ch/Fz","234","317","397","524","739","541","659","809","926","591","-36","US","WS","0603AT",
"47","North Macedonia","1","Pork, Fr/Ch/Fz","0","0","281","155","0","2,963","0","0","88","554","528","US","MK","0603AT",
"48","Other Pacific Islands, NEC(*)","1","Pork, Fr/Ch/Fz","65","279","328","349","377","196","255","94","337","522","55","US","Z7","0603AT",
"49","Gambia, The","1","Pork, Fr/Ch/Fz","0","0","68","28","0","0","0","0","0","418","","US","GA","0603AT",
"50","South Africa","1","Pork, Fr/Ch/Fz","40","206","93","230","5","56","21","59","614","411","-33","US","SF","0603AT",
"51","Gabon","1","Pork, Fr/Ch/Fz","0","0","140","0","156","257","316","352","266","323","21","US","GB","0603AT",
"52","Venezuela","1","Pork, Fr/Ch/Fz","7","0","0","7","45","60","16","677","829","290","-65","US","VE","0603AT",
"53","Italy(*)","1","Pork, Fr/Ch/Fz","200","845","737","523","518","416","662","169","19","248","1,190","US","IT","0603AT",
"54","Angola","1","Pork, Fr/Ch/Fz","0","0","374","0","20","54","247","192","341","245","-28","US","AO","0603AT",
"55","United Arab Emirates","1","Pork, Fr/Ch/Fz","383","1,323","602","1,409","1,100","1,332","960","3,098","2,885","235","-92","US","AE","0603AT",
"56","Congo (Kinshasa)","1","Pork, Fr/Ch/Fz","0","0","225","0","0","0","0","0","0","225","","US","CG","0603AT",
"57","Iraq","1","Pork, Fr/Ch/Fz","0","20","0","0","0","9","7","51","69","208","199","US","IZ","0603AT",
"58","Egypt","1","Pork, Fr/Ch/Fz","188","155","231","73","119","0","12","183","241","202","-16","US","EG","0603AT",
"59","Paraguay","1","Pork, Fr/Ch/Fz","23","0","75","275","463","216","295","260","180","195","8","US","PA","0603AT",
"60","Qatar","1","Pork, Fr/Ch/Fz","0","0","0","152","0","0","0","0","0","186","","US","QA","0603AT",
"61","Bahrain","1","Pork, Fr/Ch/Fz","34","69","110","71","33","70","70","423","319","181","-43","US","BA","0603AT",
"62","Sierra Leone","1","Pork, Fr/Ch/Fz","0","0","0","6","0","0","0","0","32","178","454","US","SL","0603AT",
"63","Oman","1","Pork, Fr/Ch/Fz","0","12","0","55","0","0","28","0","120","156","30","US","MU","0603AT",
"64","France(*)","1","Pork, Fr/Ch/Fz","153","60","48","14","86","66","7","19","0","154","","US","FR","0603AT",
"65","Suriname","1","Pork, Fr/Ch/Fz","19","22","20","71","40","95","113","371","155","140","-10","US","NS","0603AT",
"66","Denmark","1","Pork, Fr/Ch/Fz","81","110","35","36","175","0","0","34","0","90","","US","D1","0603AT",
"67","Congo (Brazzaville)","1","Pork, Fr/Ch/Fz","0","0","125","29","194","108","0","0","0","87","","US","CF","0603AT",
"68","Equatorial Guinea","1","Pork, Fr/Ch/Fz","271","325","300","172","188","162","157","220","80","83","5","US","EK","0603AT",
"69","Turkey","1","Pork, Fr/Ch/Fz","0","58","0","0","0","0","7","13","28","80","188","US","TU","0603AT",
"70","Argentina","1","Pork, Fr/Ch/Fz","0","0","114","63","42","147","43","35","32","76","139","US","AR","0603AT",
"71","Nigeria","1","Pork, Fr/Ch/Fz","16","43","61","56","77","0","0","0","0","73","","US","NI","0603AT",
"72","Uruguay","1","Pork, Fr/Ch/Fz","241","69","389","381","231","228","10","20","32","71","119","US","UY","0603AT",
"73","Spain","1","Pork, Fr/Ch/Fz","533","596","341","477","137","3","32","28","26","70","168","US","SP","0603AT",
"74","Cambodia","1","Pork, Fr/Ch/Fz","30","0","0","195","70","74","0","5","136","68","-50","US","CB","0603AT",
"75","Saudi Arabia","1","Pork, Fr/Ch/Fz","0","0","0","0","4","6","304","724","760","65","-91","US","SA","0603AT",
"76","Somalia","1","Pork, Fr/Ch/Fz","0","0","0","0","13","0","0","0","0","52","","US","SO","0603AT",
"77","Mayotte","1","Pork, Fr/Ch/Fz","24","0","0","0","0","0","0","0","0","45","","US","MF","0603AT",
"78","Mauritius","1","Pork, Fr/Ch/Fz","0","0","0","0","0","0","3","0","36","37","4","US","MP","0603AT",
"79","French Guiana","1","Pork, Fr/Ch/Fz","0","0","0","0","0","0","0","0","0","32","","US","FG","0603AT",
"80","Jamaica","1","Pork, Fr/Ch/Fz","298","48","192","43","116","76","53","114","491","32","-93","US","JM","0603AT",
"81","Senegal","1","Pork, Fr/Ch/Fz","0","0","0","0","0","0","0","4","26","26","","US","SG","0603AT",
"82","Greece","1","Pork, Fr/Ch/Fz","3","33","4","80","37","4","33","6","9","22","139","US","GR","0603AT",
"83","Morocco","1","Pork, Fr/Ch/Fz","0","0","0","0","0","0","0","52","0","18","","US","MO","0603AT",
"84","Namibia","1","Pork, Fr/Ch/Fz","269","0","0","53","0","0","0","0","0","15","","US","WA","0603AT",
"85","Seychelles","1","Pork, Fr/Ch/Fz","11","0","4","21","9","0","0","0","17","15","-11","US","SE","0603AT",
"86","Djibouti","1","Pork, Fr/Ch/Fz","15","3","6","22","0","11","35","29","34","14","-59","US","DJ","0603AT",
"87","India","1","Pork, Fr/Ch/Fz","0","0","8","0","0","36","3","0","11","6","-49","US","IN","0603AT",
"88","Kazakhstan","1","Pork, Fr/Ch/Fz","0","0","0","0","91","0","0","3","0","6","","US","KZ","0603AT",
"89","French Ind. Ocean Territory(*)","1","Pork, Fr/Ch/Fz","49","56","74","78","61","67","17","14","8","3","-60","US","X6","0603AT",
"90","Hungary","1","Pork, Fr/Ch/Fz","0","0","7","8","0","0","0","0","0","3","","US","HU","0603AT",
"91","Georgia","1","Pork, Fr/Ch/Fz","311","204","1,186","27","454","1,083","51","48","0","3","","US","GG","0603AT",
"92","Thailand","1","Pork, Fr/Ch/Fz","0","12","52","0","35","85","16","54","71","3","-96","US","TH","0603AT",
"93","Sri Lanka","1","Pork, Fr/Ch/Fz","0","0","0","0","0","3","10","11","0","3","","US","CE","0603AT",
"94","Afghanistan","1","Pork, Fr/Ch/Fz","61","52","0","18","0","5","0","45","0","0","","US","AF","0603AT",
"95","Azerbaijan","1","Pork, Fr/Ch/Fz","0","0","26","31","0","0","0","0","0","0","","US","AJ","0603AT",
"96","Albania","1","Pork, Fr/Ch/Fz","824","693","1,473","1,093","1,868","3,401","31","105","207","0","","US","AL","0603AT",
"97","Armenia","1","Pork, Fr/Ch/Fz","0","0","109","0","0","0","0","0","0","0","","US","AM","0603AT",
"98","Austria","1","Pork, Fr/Ch/Fz","0","58","11","0","67","0","0","0","0","0","","US","AU","0603AT",
"99","Bangladesh","1","Pork, Fr/Ch/Fz","0","15","0","0","0","0","0","0","0","0","","US","BG","0603AT",
"100","Bolivia","1","Pork, Fr/Ch/Fz","0","0","0","0","0","0","0","77","3","0","","US","BL","0603AT",
"101","Burma","1","Pork, Fr/Ch/Fz","149","32","24","280","15","0","0","0","0","0","","US","BM","0603AT",
"102","Brazil","1","Pork, Fr/Ch/Fz","3","27","119","92","27","8","41","50","10","0","","US","BR","0603AT",
"103","Bulgaria","1","Pork, Fr/Ch/Fz","0","0","0","0","71","37","0","0","0","0","","US","BU","0603AT",
"104","Central African Republic","1","Pork, Fr/Ch/Fz","0","0","0","0","0","0","0","36","0","0","","US","CT","0603AT",
"105","Cyprus","1","Pork, Fr/Ch/Fz","0","0","0","0","0","4","0","14","0","0","","US","CY","0603AT",
"106","Ireland","1","Pork, Fr/Ch/Fz","788","0","3","9","21","6","0","0","0","0","","US","EI","0603AT",
"107","Estonia","1","Pork, Fr/Ch/Fz","0","0","0","0","32","0","0","0","0","0","","US","EN","0603AT",
"108","Eritrea","1","Pork, Fr/Ch/Fz","50","0","0","0","0","0","0","0","0","0","","US","ER","0603AT",
"109","Ethiopia(*)","1","Pork, Fr/Ch/Fz","0","0","0","0","0","3","0","0","0","0","","US","ET","0603AT",
"110","Czech Republic","1","Pork, Fr/Ch/Fz","0","0","0","0","0","50","3","0","0","0","","US","EZ","0603AT",
"111","Finland","1","Pork, Fr/Ch/Fz","0","0","0","0","0","11","0","0","0","0","","US","FI","0603AT",
