"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"0203","Meat of swine, fresh, chilled or frozen","301","Belgium","47,316",
"0203","Meat of swine, fresh, chilled or frozen","302","Denmark","1,081,886,550",
"0203","Meat of swine, fresh, chilled or frozen","303","United Kingdom","275,290,010",
"0203","Meat of swine, fresh, chilled or frozen","304","Germany","1,272,903,411",
"0203","Meat of swine, fresh, chilled or frozen","305","France","368,686,227",
"0203","Meat of swine, fresh, chilled or frozen","306","Ireland","173,166,564",
"0203","Meat of swine, fresh, chilled or frozen","307","Italy","54,251,877",
"0203","Meat of swine, fresh, chilled or frozen","309","Netherlands","762,867,775",
"0203","Meat of swine, fresh, chilled or frozen","311","Portugal","59,939,512",
"0203","Meat of swine, fresh, chilled or frozen","312","Spain","2,673,665,706",
"0203","Meat of swine, fresh, chilled or frozen","315","Austria","117,502,432",
"0203","Meat of swine, fresh, chilled or frozen","318","Finland","51,833,056",
"0203","Meat of swine, fresh, chilled or frozen","331","Switzerland","2,360,754",
"0203","Meat of swine, fresh, chilled or frozen","402","Argentina","54,501,947",
"0203","Meat of swine, fresh, chilled or frozen","410","Brazil","1,563,862,718",
"0203","Meat of swine, fresh, chilled or frozen","412","Chile","471,563,604",
"0203","Meat of swine, fresh, chilled or frozen","415","Costa Rica","6,122,143",
"0203","Meat of swine, fresh, chilled or frozen","429","Mexico","279,385,400",
"0203","Meat of swine, fresh, chilled or frozen","501","Canada","972,141,323",
"0203","Meat of swine, fresh, chilled or frozen","502","United States","1,636,402,174",
