"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"0203","Meat of swine, fresh, chilled or frozen","302","Denmark","288,890,249",
"0203","Meat of swine, fresh, chilled or frozen","303","United Kingdom","130,505,440",
"0203","Meat of swine, fresh, chilled or frozen","305","France","152,839,218",
"0203","Meat of swine, fresh, chilled or frozen","306","Ireland","71,901,939",
"0203","Meat of swine, fresh, chilled or frozen","309","Netherlands","267,277,430",
"0203","Meat of swine, fresh, chilled or frozen","311","Portugal","6,636,566",
"0203","Meat of swine, fresh, chilled or frozen","312","Spain","865,296,368",
"0203","Meat of swine, fresh, chilled or frozen","315","Austria","30,152,602",
"0203","Meat of swine, fresh, chilled or frozen","318","Finland","10,702,115",
"0203","Meat of swine, fresh, chilled or frozen","331","Switzerland","2,406,790",
"0203","Meat of swine, fresh, chilled or frozen","402","Argentina","947,716",
"0203","Meat of swine, fresh, chilled or frozen","410","Brazil","998,682,654",
"0203","Meat of swine, fresh, chilled or frozen","412","Chile","162,679,996",
"0203","Meat of swine, fresh, chilled or frozen","429","Mexico","5,927,048",
"0203","Meat of swine, fresh, chilled or frozen","501","Canada","271,064,474",
"0203","Meat of swine, fresh, chilled or frozen","502","United States","217,881,049",
