Partner,,HS Code,Product,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
China,1,,"Pork, Fr/Ch/Fz","173,358","329,805","237,191","199,088","853,118","1,647,814","884,787","521,838","386,267","346,575",-10,US,CH,0603AT,
China,1.1,203294000,"SWN MT, FRZ","49,375","159,582","161,358","182,066","312,581","882,320","543,920","441,155","330,941","309,480",-6,US,CH,203294000,
China,1.2,203210000,"SWN CARC,FZ","9,036","7,493","1,270",245,"447,733","400,665","50,039","40,878","29,922","25,051",-16,US,CH,203210000,
China,1.3,203229000,"HM/SH,X PRC,FRZ","50,311","105,228","69,428","14,684","86,056","320,686","234,105","14,159","11,030","6,389",-42,US,CH,203229000,
China,1.4,203194000,"SWN MT,FR/CH",568,73,286,134,809,360,786,235,"2,195","4,243",93,US,CH,203194000,
China,1.5,203292000,"SWN MT,NE,PRC,FZ","63,072","57,161","4,677","1,755","3,112","41,489","55,673","25,065","11,908","1,120",-91,US,CH,203292000,
China,1.6,203221000,"HM,SH,PRC,FZ",423,192,26,72,309,226,177,197,79,216,174,US,CH,203221000,
China,1.7,203192000,"SWN MT,PRC,FR,CH",62,0,0,0,0,38,0,85,193,75,-61,US,CH,203192000,
China,1.8,203110000,"SWN CRC,FR,CH",342,0,0,0,"1,360",439,0,0,0,0,,US,CH,203110000,
China,1.9,203121000,"HM,SH,PRC,FR,CH",128,0,0,0,69,182,0,0,0,0,,US,CH,203121000,
China,1.10,203129000,"HM/SH X PC,FR,CH",41,76,147,131,"1,091","1,409",87,63,0,0,,US,CH,203129000,
Colombia,1,,"Pork, Fr/Ch/Fz","85,505","89,969","143,341","199,503","203,085","132,034","243,851","226,542","251,713","339,783",35,US,CO,0603AT,
Australia(*),1,,"Pork, Fr/Ch/Fz","140,173","150,038","173,761","184,080","265,633","225,185","169,887","101,358","216,360","292,488",35,US,AS,0603AT,
Dominican Republic,1,,"Pork, Fr/Ch/Fz","46,431","47,571","61,221","79,585","65,796","85,745","142,648","220,889","257,406","259,866",1,US,DR,0603AT,
Honduras,1,,"Pork, Fr/Ch/Fz","40,982","45,548","51,884","54,506","62,236","70,022","108,331","99,620","118,480","136,827",15,US,HO,0603AT,
Guatemala,1,,"Pork, Fr/Ch/Fz","28,389","29,971","34,063","34,605","39,027","36,343","67,808","56,534","76,684","85,299",11,US,GT,0603AT,
Costa Rica,1,,"Pork, Fr/Ch/Fz","8,483","9,911","10,712","12,304","17,083","17,416","35,148","26,161","35,629","59,473",67,US,CS,0603AT,
Nicaragua,1,,"Pork, Fr/Ch/Fz","6,624","10,147","13,201","14,843","18,343","23,871","31,256","27,151","39,653","58,424",47,US,NU,0603AT,
El Salvador,1,,"Pork, Fr/Ch/Fz","7,010","8,858","11,764","15,867","16,248","17,925","34,538","33,701","42,135","52,280",24,US,ES,0603AT,
Panama,1,,"Pork, Fr/Ch/Fz","15,819","17,862","15,677","21,530","27,446","23,871","32,832","26,693","24,476","42,065",72,US,PM,0603AT,
Philippines,1,,"Pork, Fr/Ch/Fz","27,382","29,363","39,434","42,556","41,725","51,524","128,501","33,254","55,894","41,849",-25,US,RP,0603AT,
