"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"020641","Livers,frozen","305","France","19,928",
"020641","Livers,frozen","412","Chile","291,181",
"020641","Livers,frozen","501","Canada","458",
"020649","Other edible offal of swine,frozen","302","Denmark","344,299,536",
"020649","Other edible offal of swine,frozen","303","United Kingdom","113,238,500",
"020649","Other edible offal of swine,frozen","305","France","218,287,180",
"020649","Other edible offal of swine,frozen","306","Ireland","51,718,067",
"020649","Other edible offal of swine,frozen","307","Italy","7,685,236",
"020649","Other edible offal of swine,frozen","309","Netherlands","270,358,094",
"020649","Other edible offal of swine,frozen","311","Portugal","3,970,727",
"020649","Other edible offal of swine,frozen","312","Spain","611,906,271",
"020649","Other edible offal of swine,frozen","318","Finland","18,610,263",
"020649","Other edible offal of swine,frozen","331","Switzerland","10,178,561",
"020649","Other edible offal of swine,frozen","410","Brazil","79,029,302",
"020649","Other edible offal of swine,frozen","412","Chile","78,349,918",
"020649","Other edible offal of swine,frozen","415","Costa Rica","192,931",
"020649","Other edible offal of swine,frozen","429","Mexico","14,325,781",
"020649","Other edible offal of swine,frozen","501","Canada","95,348,253",
"020649","Other edible offal of swine,frozen","502","United States","772,907,790",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","142","China","50,862",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","302","Denmark","2,366,914",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","307","Italy","125,060",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","312","Spain","253,756",
