"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"020641","Livers,frozen","302","Denmark","1,537,931",
"020641","Livers,frozen","303","United Kingdom","359,930",
"020641","Livers,frozen","304","Germany","71,407",
"020641","Livers,frozen","305","France","632,725",
"020641","Livers,frozen","306","Ireland","808,260",
"020641","Livers,frozen","309","Netherlands","2,390,000",
"020641","Livers,frozen","312","Spain","10,864,353",
"020641","Livers,frozen","412","Chile","2,915,313",
"020641","Livers,frozen","415","Costa Rica","13,500",
"020641","Livers,frozen","501","Canada","629,644",
"020649","Other edible offal of swine,frozen","302","Denmark","295,496,604",
"020649","Other edible offal of swine,frozen","303","United Kingdom","109,716,736",
"020649","Other edible offal of swine,frozen","304","Germany","330,236,908",
"020649","Other edible offal of swine,frozen","305","France","185,209,158",
"020649","Other edible offal of swine,frozen","306","Ireland","49,210,379",
"020649","Other edible offal of swine,frozen","307","Italy","26,809,841",
"020649","Other edible offal of swine,frozen","309","Netherlands","231,182,253",
"020649","Other edible offal of swine,frozen","311","Portugal","525,891",
"020649","Other edible offal of swine,frozen","312","Spain","539,669,726",
"020649","Other edible offal of swine,frozen","318","Finland","13,941,368",
"020649","Other edible offal of swine,frozen","331","Switzerland","3,103,810",
"020649","Other edible offal of swine,frozen","410","Brazil","31,753,790",
"020649","Other edible offal of swine,frozen","412","Chile","87,519,249",
"020649","Other edible offal of swine,frozen","415","Costa Rica","166,909",
"020649","Other edible offal of swine,frozen","429","Mexico","10,446,715",
"020649","Other edible offal of swine,frozen","501","Canada","202,222,842",
"020649","Other edible offal of swine,frozen","502","United States","506,248,785",
"160249","Other, including mixtures","116","Japan","430",
"160249","Other, including mixtures","133","Republic of Korea","2,287",
"160249","Other, including mixtures","136","Thailand","30",
"160249","Other, including mixtures","302","Denmark","4,660,661",
"160249","Other, including mixtures","305","France","67,644",
"160249","Other, including mixtures","307","Italy","127,608",
"160249","Other, including mixtures","344","Russia","2,134",
"160249","Other, including mixtures","445","Venezuela","143",
"160249","Other, including mixtures","502","United States","383,987",
