"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"020641","Livers,frozen","301","Belgium","19,375",
"020641","Livers,frozen","302","Denmark","707,324",
"020641","Livers,frozen","303","United Kingdom","603,847",
"020641","Livers,frozen","304","Germany","1,554,026",
"020641","Livers,frozen","305","France","227,606",
"020641","Livers,frozen","306","Ireland","489,896",
"020641","Livers,frozen","309","Netherlands","1,680,348",
"020641","Livers,frozen","312","Spain","1,824,212",
"020641","Livers,frozen","321","Hungary","44,925",
"020641","Livers,frozen","328","Romania","131,168",
"020641","Livers,frozen","412","Chile","594,559",
"020641","Livers,frozen","501","Canada","1,785,049",
"020649","Other edible offal of swine,frozen","301","Belgium","26,771,426",
"020649","Other edible offal of swine,frozen","302","Denmark","337,105,813",
"020649","Other edible offal of swine,frozen","303","United Kingdom","36,704,897",
"020649","Other edible offal of swine,frozen","304","Germany","359,101,656",
"020649","Other edible offal of swine,frozen","305","France","116,069,557",
"020649","Other edible offal of swine,frozen","306","Ireland","34,794,462",
"020649","Other edible offal of swine,frozen","309","Netherlands","154,456,370",
"020649","Other edible offal of swine,frozen","312","Spain","180,383,442",
"020649","Other edible offal of swine,frozen","321","Hungary","18,332,530",
"020649","Other edible offal of swine,frozen","328","Romania","4,353,897",
"020649","Other edible offal of swine,frozen","412","Chile","43,506,533",
"020649","Other edible offal of swine,frozen","429","Mexico","89,570",
"020649","Other edible offal of swine,frozen","501","Canada","198,489,963",
"020649","Other edible offal of swine,frozen","502","United States","936,811,145",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","110","Hong Kong£¬China","831",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","136","Thailand","12,132",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","141","Viet Nam","3,074",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","142","China","451,556",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","143","Taiwan£¬China","60,583",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","304","Germany","65,252",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","307","Italy","15,783",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","312","Spain","3",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","315","Austria","87",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","502","United States","5,318",
