"Commodity code","Commodity","Trading partner code","Trading partner","US dollar",
"020641","Livers,frozen","302","Denmark","18,983",
"020641","Livers,frozen","303","United Kingdom","1,986",
"020641","Livers,frozen","312","Spain","710,288",
"020641","Livers,frozen","318","Finland","11,916",
"020641","Livers,frozen","412","Chile","586,938",
"020649","Other edible offal of swine,frozen","301","Belgium","16,811,153",
"020649","Other edible offal of swine,frozen","302","Denmark","226,982,938",
"020649","Other edible offal of swine,frozen","303","United Kingdom","104,037,137",
"020649","Other edible offal of swine,frozen","305","France","181,953,727",
"020649","Other edible offal of swine,frozen","306","Ireland","46,466,259",
"020649","Other edible offal of swine,frozen","309","Netherlands","253,395,729",
"020649","Other edible offal of swine,frozen","311","Portugal","3,398,723",
"020649","Other edible offal of swine,frozen","312","Spain","564,756,094",
"020649","Other edible offal of swine,frozen","318","Finland","17,465,497",
"020649","Other edible offal of swine,frozen","331","Switzerland","9,225,881",
"020649","Other edible offal of swine,frozen","344","Russia","36,402,023",
"020649","Other edible offal of swine,frozen","410","Brazil","76,900,648",
"020649","Other edible offal of swine,frozen","412","Chile","66,123,139",
"020649","Other edible offal of swine,frozen","429","Mexico","192,858",
"020649","Other edible offal of swine,frozen","501","Canada","220,549,725",
"020649","Other edible offal of swine,frozen","502","United States","694,888,966",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","302","Denmark","548,582",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","312","Spain","93,110",
"160249","Other prepared or preserved meat and meat offal of swine, including mixtures","502","United States","44,879,849",
